academic_score,coding_skill,communication_skill,analytical_skill,creative_skill,R,I,A,S,E,C,career_domain
93.04996930667062,0.917173949330819,5.898455001363846,9.81565812704725,2.229163764267956,7.002336297523043,8.976634677873653,3.668543055695109,2.7143340896097037,5.254442364744264,2.2820578951355013,Engineering
84.69926038510866,2.6237821581611893,7.36965827544817,3.4561457009902097,8.542703315240836,2.6974693032602093,3.4607232426760905,8.092900825439996,4.28034992108518,5.925879806965068,2.9983689107917986,Design
95.8298727934041,2.2524962598477147,2.066324805799333,7.520093960523316,2.8164410892276965,8.173181822719723,6.546708263364187,3.154469128110745,3.2051273301300585,5.416317594127291,5.049983288913104,Engineering
90.2144564127061,2.600340105889054,7.5879485872574355,2.9242722776276353,6.135681866731614,5.875664116805573,6.697494707820946,6.474136752138244,7.166031869068446,7.975990992289793,2.4424625102595976,Marketing
75.35199556787711,2.9337558283192413,6.82627653632069,7.596527212266415,1.3799959101127168,9.13402585824595,8.370526621593617,2.0781820337059695,4.117007403531848,3.9744075908778487,3.4674408735901907,Engineering
84.23839899124046,1.7923286427213632,6.888859700647798,6.315517129377968,9.661638227728979,3.654490124263246,2.3177917514301183,8.239188491876604,3.6259166101337352,5.64803089169032,5.187787356776066,Design
88.5297914889198,8.253102287905534,3.179924598744779,8.78206434570451,0.20216794769215674,5.553314448428937,6.557325817623503,4.19668250932885,3.008596011676981,6.478817978367597,7.417669517111269,Software
97.31397496224945,1.1439908274581123,2.384899549143965,8.618026725746953,0.8061064362700221,9.422320465492188,8.68827389977048,5.167018782552118,6.357302950938589,6.018360384495573,2.932850294430179,Engineering
72.72013899887456,6.976502088991097,5.238450602706812,6.673164168691722,1.7628442816708452,3.523906290790145,6.8750568782922805,4.67044709687721,4.424149856794916,5.462180164451352,7.232408008069365,Software
76.15344684232163,4.858910413604804,7.835939392709834,3.2589114791268208,8.72479765789996,3.504391549083848,3.4242024718873383,2.1844347367726638,6.434684616273669,7.718685672000917,2.2573937562499466,Marketing
94.95862812461378,2.76446544535664,4.963483619396968,6.452152631896288,1.8482722803070222,3.2107996913871295,6.015698781899479,4.351503172230192,9.087438420372646,8.524596330222156,6.08215936609692,Civil Services
86.82132702100517,3.3878218092114123,2.0829391446392806,6.340420563721767,1.1324788759896898,5.225863952047249,9.632018060142943,5.45468869051233,9.774080854835688,6.6836499436836725,2.6876047207299663,Healthcare
